DATE,CUSR0000SEHC01
2016-05-01,293.973
2016-06-01,294.876
2016-07-01,295.715
2016-08-01,296.533
2016-09-01,297.595
2016-10-01,298.459
2016-11-01,299.430
2016-12-01,300.253
2017-01-01,300.965
2017-02-01,301.735
2017-03-01,302.350
2017-04-01,302.947
2017-05-01,303.585
2017-06-01,304.426
2017-07-01,305.214
2017-08-01,306.227
2017-09-01,307.062
2017-10-01,308.005
2017-11-01,308.797
2017-12-01,309.832
2018-01-01,310.641
2018-02-01,311.217
2018-03-01,312.213
2018-04-01,313.179
2018-05-01,313.979
2018-06-01,314.681
2018-07-01,315.589
2018-08-01,316.448
2018-09-01,317.132
2018-10-01,318.034
2018-11-01,319.028
2018-12-01,319.790
2019-01-01,320.611
2019-02-01,321.577
2019-03-01,322.607
2019-04-01,323.706
2019-05-01,324.498
2019-06-01,325.425
2019-07-01,326.252
2019-08-01,327.051
2019-09-01,327.945
2019-10-01,328.604
2019-11-01,329.448
2019-12-01,330.295
2020-01-01,331.367
2020-02-01,332.144
2020-03-01,333.004
2020-04-01,333.658
2020-05-01,334.419
2020-06-01,334.656
2020-07-01,335.367
2020-08-01,335.821
2020-09-01,336.101
2020-10-01,336.787
2020-11-01,336.924
2020-12-01,337.439
2021-01-01,338.011
2021-02-01,338.869
2021-03-01,339.686
2021-04-01,340.461
2021-05-01,341.455
2021-06-01,342.482
2021-07-01,343.505
2021-08-01,344.373
2021-09-01,345.828
2021-10-01,347.322
2021-11-01,348.798
2021-12-01,350.219
2022-01-01,351.813
2022-02-01,353.440
2022-03-01,355.074
2022-04-01,356.758
2022-05-01,358.853
2022-06-01,361.262
2022-07-01,363.559
2022-08-01,366.079
2022-09-01,368.978
2022-10-01,371.282
2022-11-01,373.717
2022-12-01,376.659
2023-01-01,379.189
2023-02-01,381.831
2023-03-01,383.678
2023-04-01,385.777
2023-05-01,387.804
2023-06-01,389.536
2023-07-01,391.421
2023-08-01,392.898
2023-09-01,395.099
2023-10-01,396.703
